make,avg_selling_price
Acura,13983.5977050287
airstream,71000.0
Aston Martin,54812.0
Kia,Cadenza,58.9795918367347
Kia,Forte,159.690545454545
Kia,K900,47.5409836065574
Kia,Optima,151.476526891522
Kia,Rio,174.175438596491
Kia,Rondo,410.429447852761
Kia,Sedona,117.301268498943
Kia,Sephia,-10.9375
Kia,Sorento,89.7453051643192
Kia,Soul,169.708242159008
Kia,Spectra,59.8824786324786
Kia,Sportage,81.3496732026144
Lamborghini,Gallardo,-1125.0
Land Rover,Discovery,4.54545454545455
Land Rover,Discovery Series II,-261.111111111111
Land Rover,Freelander,-113.5
Land Rover,LR2,162.226277372263
Land Rover,LR3,-673.076923076923
Land Rover,LR4,420.0
Land Rover,Range Rover,515.707070707071
Land Rover,Range Rover Evoque,411.258278145695
Land Rover,Range Rover Sport,315.487316421896
Lexus,CT 200h,22.2087378640777
Lexus,ES 300,72.5721784776903
Lexus,ES 300h,390.972222222222
Lexus,ES 330,60.7605177993527
Lexus,ES 350,98.9328474752733
Lexus,GS 300,9.01826484018265
Lexus,GS 350,109.758485639687
Lexus,GS 400,240.0
Lexus,GS 430,-230.729166666667
Lexus,GS 450h,684.090909090909
Lexus,GS 460,0.0
Lexus,GX 460,312.490272373541
Lexus,GX 470,-37.1428571428571
Lexus,HS 250h,-52.7777777777778
Lexus,IS 250,86.0881897885508
Lexus,IS 250 C,310.4
Lexus,IS 300,-175.0
Lexus,IS 350,7.17948717948718
Lexus,IS 350 C,-155.882352941176
Lexus,IS F,-429.032258064516
Lexus,LS 400,6.68604651162791
Lexus,LS 430,-180.958549222798
Lexus,LS 460,309.947735191638
Lexus,LS 600h L,1187.5
Lexus,LX 450,-175.0
Lexus,LX 470,-398.706896551724
Lexus,LX 570,832.231404958678
Lexus,RC 350,1091.66666666667
Lexus,RC F,1640.0
Lexus,RX 300,-114.595808383234
Lexus,RX 330,-384.975669099757
Lexus,RX 350,153.602941176471
Lexus,RX 400h,-213.262195121951
Lexus,RX 450h,293.539325842697
Lexus,SC 300,136.363636363636
Lexus,SC 400,-28.3333333333333
Lexus,SC 430,-145.481927710843
Lincoln,Aviator,28.8333333333333
Lincoln,Blackwood,-1000.0
Lincoln,Continental,5.22388059701493
Lincoln,LS,57.7981651376147
Lincoln,MKC,417.5
Lincoln,MKS,159.821184510251
Lincoln,MKT,193.668831168831
Lincoln,MKX,280.702586206897
Lincoln,MKZ,374.867957746479
Lincoln,MKZ Hybrid,-713.636363636364
Lincoln,Mark LT,258.552631578947
Lincoln,Mark VIII,-105.555555555556
Lincoln,Navigator,37.8115246098439
Lincoln,Navigator L,-341.304347826087
Lincoln,Town Car,120.738636363636
Lincoln,Zephyr,209.736842105263
Lotus,Exige,-500.0
MINI,Cooper,80.3417836124943
MINI,Cooper Clubman,257.520891364903
MINI,Cooper Countryman,117.620481927711
MINI,Cooper Coupe,196.153846153846
MINI,Cooper Paceman,-44.4444444444444
MINI,Cooper Roadster,-486.206896551724
Maserati,Coupe,-1150.0
Maserati,Ghibli,731.578947368421
Maserati,GranSport,2000.0
Maserati,GranTurismo,101.785714285714
Maserati,GranTurismo Convertible,2057.69230769231
Maserati,Quattroporte,903.030303030303
Maserati,Spyder,-2066.66666666667
Mazda,3,75.0
Mazda,6,278.571428571429
Mazda,626,-43.3823529411765
Mazda,B-Series,-900.0
Mazda,B-Series Pickup,336.111111111111
Mazda,B-Series Truck,50.0
Mazda,CX-5,201.966469428008
Mazda,CX-7,124.544270833333
Mazda,CX-9,85.7100591715976
Mazda,MPV,49.6644295302013
Mazda,MX-5 Miata,-18.6123348017621
Mazda,Mazda2,458.002392344498
Mazda,Mazda3,129.941710296684
Mazda,Mazda5,129.956661316212
Mazda,Mazda6,70.1653439153439
Mazda,Mazdaspeed 3,-167.857142857143
Mazda,Mazdaspeed MX-5 Miata,-50.0
Mazda,Mazdaspeed Mazda3,-419.444444444444
Mazda,Mazdaspeed Mazda6,394.642857142857
Mazda,Mazdaspeed Protege,115.0
Mazda,Mazdaspeed3,159.375
Mazda,Millenia,-103.77358490566
Mazda,Protege,81.25
Mazda,Protege5,-0.531914893617021
Mazda,RX-8,716.666666666667
Mazda,Tribute,71.1974110032362
Mazda,Tribute Hybrid,-475.0
Mazda,Truck,646.875
Mercedes-Benz,190-Class,316.666666666667
Mercedes-Benz,300-Class,77.2727272727273
Mercedes-Benz,400-Class,-1275.0
Mercedes-Benz,420-Class,350.0
Mercedes-Benz,500-Class,85.7142857142857
Mercedes-Benz,B-Class Electric Drive,210.0
Mercedes-Benz,C-Class,288.839725773578
Mercedes-Benz,CL-Class,-4.57142857142857
Mercedes-Benz,CLA-Class,804.477611940299
Mercedes-Benz,CLK-Class,100.314465408805
Mercedes-Benz,CLS-Class,577.436974789916
Mercedes-Benz,E-Class,398.117919670443
Mercedes-Benz,G-Class,2436.92307692308
Mercedes-Benz,GL-Class,356.328934967012
Mercedes-Benz,GLA-Class,2650.0
Mercedes-Benz,GLK-Class,362.58926487748
Mercedes-Benz,M-Class,412.827568134172
Mercedes-Benz,ML55 AMG,175.0
Mercedes-Benz,R-Class,184.186746987952
Mercedes-Benz,S-Class,364.972203838518
Mercedes-Benz,SL-Class,286.149425287356
Mercedes-Benz,SLK-Class,401.947040498442
Mercedes-Benz,SLS AMG,4983.33333333333
Mercedes-Benz,SLS AMG GT,3500.0
Mercedes-Benz,Sprinter,-944.534246575342
Mercury,Cougar,166.447368421053
Mercury,Grand Marquis,191.417910447761
Mercury,Marauder,-2843.75
Mercury,Mariner,50.400641025641
Mercury,Mariner Hybrid,355.434782608696
Mercury,Milan,231.569343065693
Mercury,Milan Hybrid,-666.666666666667
Mercury,Montego,339.516129032258
Mercury,Monterey,343.229166666667
Mercury,Mountaineer,183.511904761905
Mercury,Mystique,-112.5
Mercury,Sable,133.93665158371
Mercury,Tracer,212.5
